Team,GM,Team_Payroll,Winning_Percentage,Year
Tampa Bay Rays,Andrew Friedman,41932171,0.562,2011
Tampa Bay Rays,Andrew Friedman,64173500,0.556,2012
Tampa Bay Rays,Andrew Friedman,57895272,0.564,2013
Tampa Bay Rays,Andrew Friedman,77062891,0.475,2014
Tampa Bay Rays,Andrew Friedman,73582652,0.494,2015
Texas Rangers,Douglas Melvin,60519595,0.543,1998
Texas Rangers,Douglas Melvin,81576598,0.586,1999
Texas Rangers,Douglas Melvin,70795921,0.438,2000
Texas Rangers,Douglas Melvin,88504421,0.451,2001
Texas Rangers,John Hart,105302124,0.444,2002
Texas Rangers,John Hart,103491667,0.438,2003
Texas Rangers,John Hart,54825973,0.549,2004
Texas Rangers,John Hart,55307258,0.488,2005
Texas Rangers,Jon Daniels,68228662,0.494,2006
Texas Rangers,Jon Daniels,68318675,0.463,2007
Texas Rangers,Jon Daniels,67712326,0.488,2008
Texas Rangers,Jon Daniels,68646023,0.537,2009
Texas Rangers,Jon Daniels,55250545,0.556,2010
Texas Rangers,Jon Daniels,92299265,0.593,2011
Texas Rangers,Jon Daniels,120510974,0.574,2012
Texas Rangers,Jon Daniels,114090100,0.558,2013
Texas Rangers,Jon Daniels,136036172,0.414,2014
Texas Rangers,Jon Daniels,152445607,0.543,2015
Toronto Blue Jays,Gord Ash,34158500,0.543,1998
Toronto Blue Jays,Gord Ash,48455333,0.519,1999
Toronto Blue Jays,Gord Ash,46238333,0.512,2000
Toronto Blue Jays,Gord Ash,75798500,0.494,2001
Toronto Blue Jays,J.P. Ricciardi,76864333,0.481,2002
Toronto Blue Jays,J.P. Ricciardi,51269000,0.531,2003
Toronto Blue Jays,J.P. Ricciardi,50017000,0.416,2004
Toronto Blue Jays,J.P. Ricciardi,45336500,0.494,2005
Toronto Blue Jays,J.P. Ricciardi,71915000,0.537,2006
Toronto Blue Jays,J.P. Ricciardi,81942800,0.512,2007
Toronto Blue Jays,J.P. Ricciardi,97793900,0.531,2008
Toronto Blue Jays,J.P. Ricciardi,80993657,0.463,2009
Toronto Blue Jays,Alex Anthopoulos,62689357,0.525,2010
Toronto Blue Jays,Alex Anthopoulos,62517800,0.5,2011
Toronto Blue Jays,Alex Anthopoulos,75489200,0.451,2012
Toronto Blue Jays,Alex Anthopoulos,117527800,0.457,2013
Toronto Blue Jays,Alex Anthopoulos,132628700,0.512,2014
Toronto Blue Jays,Alex Anthopoulos,138309664,0.574,2015
Washington Nationals,Jim Bowden,48581500,0.5,2005
Washington Nationals,Jim Bowden,63143000,0.438,2006
Washington Nationals,Jim Bowden,37347500,0.451,2007
Washington Nationals,Jim Bowden,54961000,0.366,2008
Washington Nationals,Mike Rizzo,59328000,0.364,2009
Washington Nationals,Mike Rizzo,61425000,0.426,2010
Washington Nationals,Mike Rizzo,63681929,0.497,2011
Washington Nationals,Mike Rizzo,81336143,0.605,2012
Washington Nationals,Mike Rizzo,114056769,0.531,2013
Washington Nationals,Mike Rizzo,134704437,0.593,2014
Washington Nationals,Mike Rizzo,165655095,0.512,2015
